/* DATA DESCRIPTION:
Citation:	Hammer, C U; Dahl-Jensen, Dorthe (1999): GRIP Accumulation Rates [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55084
Related to:	Dahl-Jensen, Dorthe; Johnsen, Sigfús Jóhann; Hammer, C U; Clausen, Henrik Brink; Jouzel, Jean (1993): Past accumulation rates derived from observed annual layers in the GRIP ice core from Summit, central Greenland. In: Peltier, W R (ed.), Ice in the Climate System,Springer-Verlag, Berlin-Heidelberg, Germany, 517-532
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Hammer, C U; Andersen, Katrine K; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Hvidberg, Christine Schøtt; Iversen, P (1997): The stratigraphic dating of the GRIP ice core. Special Report of the Geophysical Department, Niels Bohr Institute for Astronomy physics and Geophysics, University of Copenhagen
	Johnsen, Sigfús Jóhann; Dahl-Jensen, Dorthe; Dansgaard, W; Gundestrup, Niels S (1995): Greenland palaeotemperatures derived from GRIP bore hole temperature and ice core isotope profiles. Tellus Series B-Chemical and Physical Meteorology, 47(5), 624-629, https://doi.org/10.1034/j.1600-0889.47.issue5.9.x
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 2983.20 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Depth at the top of the sample
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate per year [g/cm**2/a] (Acc rate) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk) * METHOD/DEVICE: Calculated * COMMENT: based on d18O
	Layer thickness [m] (Thickness) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10850 data points
*/
Depth ice/snow [m]	Age [ka BP]	Acc rate [g/cm**2/a]	Thickness [m]
716.10	3.47690	0.244	0.17187
716.65	3.48000	0.241	0.17015
717.20	3.48330	0.239	0.16836
717.75	3.48650	0.255	0.17967
718.30	3.48960	0.248	0.17507
718.85	3.49280	0.247	0.17370
719.40	3.49590	0.248	0.17445
719.95	3.49910	0.207	0.14566
720.50	3.50280	0.228	0.16042
721.05	3.50630	0.247	0.17408
721.60	3.50940	0.244	0.17141
722.15	3.51260	0.250	0.17544
722.70	3.51580	0.239	0.16827
723.25	3.51900	0.245	0.17241
723.80	3.52220	0.252	0.17721
724.35	3.52530	0.224	0.15737
724.90	3.52880	0.227	0.15947
725.45	3.53230	0.232	0.16303
726.00	3.53560	0.250	0.17532
726.55	3.53880	0.243	0.17046
727.10	3.54200	0.243	0.17062
727.65	3.54520	0.233	0.16357
728.20	3.54860	0.229	0.16072
728.75	3.55200	0.234	0.16420
729.30	3.55540	0.239	0.16713
729.85	3.55870	0.253	0.17691
730.40	3.56180	0.235	0.16452
730.95	3.56510	0.246	0.17191
731.50	3.56830	0.221	0.15463
732.05	3.57190	0.212	0.14845
732.60	3.57560	0.216	0.15101
733.15	3.57920	0.254	0.17716
733.70	3.58230	0.246	0.17183
734.25	3.58550	0.236	0.16486
734.80	3.58880	0.216	0.15038
735.35	3.59250	0.230	0.16041
735.90	3.59590	0.225	0.15654
736.45	3.59940	0.209	0.14555
737.00	3.60320	0.242	0.16850
737.55	3.60650	0.248	0.17274
738.10	3.60970	0.242	0.16839
738.65	3.61290	0.236	0.16394
739.20	3.61630	0.229	0.15952
739.75	3.61970	0.230	0.15972
740.30	3.62320	0.242	0.16816
740.85	3.62650	0.246	0.17067
741.40	3.62970	0.230	0.15994
741.95	3.63310	0.216	0.15029
742.50	3.63680	0.234	0.16234
743.05	3.64020	0.239	0.16597
743.60	3.64350	0.245	0.17018
744.15	3.64670	0.220	0.15275
744.70	3.65030	0.230	0.15949
745.25	3.65380	0.246	0.17052
745.80	3.65700	0.247	0.17127
746.35	3.66020	0.240	0.16654
746.90	3.66350	0.236	0.16335
747.45	3.66690	0.246	0.17059
748.00	3.67010	0.222	0.15376
748.55	3.67370	0.243	0.16786
749.10	3.67690	0.262	0.18150
749.65	3.68000	0.244	0.16871
750.20	3.68320	0.241	0.16637
750.75	3.68650	0.252	0.17414
751.30	3.68970	0.229	0.15808
751.85	3.69320	0.253	0.17497
752.40	3.69630	0.238	0.16421
752.95	3.69970	0.247	0.17042
753.50	3.70290	0.256	0.17643
754.05	3.70600	0.255	0.17565
754.60	3.70910	0.230	0.15865
755.15	3.71260	0.228	0.15680
755.70	3.71610	0.247	0.17003
756.25	3.71930	0.242	0.16696
756.80	3.72260	0.237	0.16306
757.35	3.72600	0.230	0.15825
757.90	3.72950	0.212	0.14554
758.45	3.73330	0.219	0.15058
759.00	3.73690	0.240	0.16502
759.55	3.74020	0.244	0.16799
760.10	3.74350	0.236	0.16238
760.65	3.74690	0.232	0.15930
761.20	3.75040	0.231	0.15825
761.75	3.75380	0.244	0.16776
762.30	3.75710	0.236	0.16169
762.85	3.76050	0.242	0.16562
763.40	3.76380	0.241	0.16524
763.95	3.76720	0.229	0.15672
764.50	3.77070	0.246	0.16830
765.05	3.77390	0.224	0.15349
765.60	3.77750	0.224	0.15344
766.15	3.78110	0.254	0.17401
766.70	3.78430	0.244	0.16673
767.25	3.78760	0.231	0.15828
767.80	3.79100	0.227	0.15545
768.35	3.79460	0.212	0.14460
768.90	3.79840	0.240	0.16378
769.45	3.80170	0.225	0.15346
770.00	3.80530	0.237	0.16197
770.55	3.80870	0.243	0.16601
771.10	3.81200	0.242	0.16542
771.65	3.81530	0.243	0.16579
772.20	3.81870	0.253	0.17278
772.75	3.82180	0.247	0.16863
773.30	3.82510	0.225	0.15362
773.85	3.82870	0.227	0.15448
774.40	3.83220	0.228	0.15506
774.95	3.83580	0.228	0.15527
775.50	3.83930	0.242	0.16486
776.05	3.84270	0.251	0.17081
776.60	3.84590	0.236	0.16072
777.15	3.84930	0.233	0.15865
777.70	3.85280	0.245	0.16631
778.25	3.85610	0.254	0.17246
778.80	3.85930	0.216	0.14690
779.35	3.86300	0.216	0.14643
779.90	3.86680	0.215	0.14568
780.45	3.87050	0.231	0.15661
781.00	3.87410	0.232	0.15717
781.55	3.87760	0.228	0.15437
782.10	3.88110	0.235	0.15899
782.65	3.88460	0.254	0.17231
783.20	3.88780	0.225	0.15228
783.75	3.89140	0.228	0.15441
784.30	3.89490	0.229	0.15486
784.85	3.89850	0.236	0.15989
785.40	3.90190	0.253	0.17094
785.95	3.90510	0.238	0.16104
786.50	3.90860	0.248	0.16785
787.05	3.91180	0.241	0.16292
787.60	3.91520	0.238	0.16053
788.15	3.91860	0.212	0.14324
788.70	3.92250	0.244	0.16434
789.25	3.92580	0.240	0.16204
789.80	3.92920	0.242	0.16317
790.35	3.93260	0.228	0.15390
790.90	3.93620	0.266	0.17904
791.45	3.93920	0.235	0.15806
792.00	3.94270	0.234	0.15729
792.55	3.94620	0.245	0.16486
793.10	3.94950	0.226	0.15223
793.65	3.95320	0.238	0.16003
794.20	3.95660	0.207	0.13941
794.75	3.96050	0.235	0.15808
795.30	3.96400	0.243	0.16303
795.85	3.96740	0.247	0.16562
796.40	3.97070	0.246	0.16506
796.95	3.97400	0.243	0.16296
797.50	3.97740	0.239	0.16065
798.05	3.98080	0.218	0.14635
798.60	3.98460	0.241	0.16173
799.15	3.98800	0.234	0.15670
799.70	3.99150	0.244	0.16371
800.25	3.99490	0.250	0.16723
800.80	3.99810	0.224	0.14969
801.35	4.00180	0.244	0.16324
801.90	4.00520	0.243	0.16245
802.45	4.00860	0.233	0.15554
803.00	4.01210	0.224	0.14974
803.55	4.01580	0.249	0.16670
804.10	4.01910	0.226	0.15092
804.65	4.02270	0.240	0.16046
805.20	4.02620	0.243	0.16253
805.75	4.02950	0.230	0.15339
806.30	4.03310	0.244	0.16262
806.85	4.03650	0.241	0.16046
807.40	4.03990	0.250	0.16674
807.95	4.04320	0.254	0.16925
808.50	4.04650	0.244	0.16290
809.05	4.04990	0.236	0.15723
809.60	4.05340	0.229	0.15227
810.15	4.05700	0.238	0.15847
810.70	4.06040	0.247	0.16444
811.25	4.06380	0.218	0.14526
811.80	4.06760	0.222	0.14773
812.35	4.07130	0.231	0.15372
812.90	4.07490	0.247	0.16392
813.45	4.07820	0.245	0.16258
814.00	4.08160	0.243	0.16141
814.55	4.08500	0.255	0.16940
815.10	4.08830	0.236	0.15639
815.65	4.09180	0.237	0.15736
816.20	4.09530	0.249	0.16490
816.75	4.09860	0.251	0.16654
817.30	4.10190	0.222	0.14734
817.85	4.10560	0.242	0.16028
818.40	4.10910	0.253	0.16738
818.95	4.11230	0.233	0.15414
819.50	4.11590	0.206	0.13661
820.05	4.11990	0.250	0.16531
820.60	4.12330	0.240	0.15872
821.15	4.12670	0.245	0.16188
821.70	4.13010	0.242	0.15957
822.25	4.13360	0.213	0.14071
822.80	4.13750	0.218	0.14405
823.35	4.14130	0.233	0.15394
823.90	4.14490	0.238	0.15730
824.45	4.14840	0.243	0.16022
825.00	4.15180	0.238	0.15663
825.55	4.15530	0.226	0.14923
826.10	4.15900	0.235	0.15483
826.65	4.16250	0.230	0.15147
827.20	4.16620	0.227	0.14945
827.75	4.16990	0.233	0.15350
828.30	4.17340	0.231	0.15191
828.85	4.17710	0.241	0.15831
829.40	4.18050	0.230	0.15108
829.95	4.18420	0.238	0.15646
830.50	4.18770	0.222	0.14609
831.05	4.19150	0.246	0.16173
831.60	4.19490	0.254	0.16677
832.15	4.19820	0.223	0.14658
832.70	4.20190	0.241	0.15834
833.25	4.20540	0.249	0.16300
833.80	4.20870	0.237	0.15563
834.35	4.21230	0.234	0.15331
834.90	4.21590	0.249	0.16283
835.45	4.21920	0.216	0.14154
836.00	4.22310	0.239	0.15661
836.55	4.22660	0.242	0.15804
837.10	4.23010	0.234	0.15338
837.65	4.23370	0.239	0.15612
838.20	4.23720	0.237	0.15474
838.75	4.24080	0.229	0.14956
839.30	4.24450	0.229	0.14963
839.85	4.24810	0.239	0.15611
840.40	4.25170	0.249	0.16261
840.95	4.25500	0.246	0.16050
841.50	4.25850	0.235	0.15351
842.05	4.26200	0.246	0.16048
842.60	4.26550	0.205	0.13388
843.15	4.26960	0.226	0.14754
843.70	4.27330	0.241	0.15710
844.25	4.27680	0.240	0.15641
844.80	4.28030	0.216	0.14082
845.35	4.28420	0.234	0.15245
845.90	4.28780	0.229	0.14886
846.45	4.29150	0.223	0.14509
847.00	4.29530	0.242	0.15738
847.55	4.29880	0.240	0.15597
848.10	4.30230	0.240	0.15613
848.65	4.30590	0.239	0.15533
849.20	4.30940	0.244	0.15837
849.75	4.31290	0.238	0.15468
850.30	4.31640	0.238	0.15408
850.85	4.32000	0.227	0.14716
851.40	4.32370	0.244	0.15804
851.95	4.32720	0.247	0.15982
852.50	4.33070	0.228	0.14737
853.05	4.33440	0.248	0.16036
853.60	4.33780	0.226	0.14604
854.15	4.34160	0.242	0.15654
854.70	4.34510	0.208	0.13449
855.25	4.34920	0.227	0.14674
855.80	4.35290	0.248	0.15998
856.35	4.35640	0.244	0.15743
856.90	4.35990	0.216	0.13917
857.45	4.36380	0.229	0.14810
858.00	4.36750	0.244	0.15735
858.55	4.37100	0.217	0.13982
859.10	4.37500	0.253	0.16308
859.65	4.37830	0.245	0.15787
860.20	4.38180	0.253	0.16328
860.75	4.38520	0.247	0.15890
861.30	4.38860	0.257	0.16561
861.85	4.39200	0.229	0.14743
862.40	4.39570	0.229	0.14713
862.95	4.39940	0.240	0.15419
863.50	4.40300	0.229	0.14750
864.05	4.40670	0.208	0.13352
864.60	4.41080	0.250	0.16083
865.15	4.41430	0.255	0.16398
865.70	4.41760	0.240	0.15422
866.25	4.42120	0.241	0.15468
866.80	4.42470	0.245	0.15693
867.35	4.42820	0.244	0.15678
867.90	4.43170	0.248	0.15888
868.45	4.43520	0.226	0.14461
869.00	4.43900	0.209	0.13418
869.55	4.44310	0.236	0.15093
870.10	4.44680	0.241	0.15398
870.65	4.45030	0.227	0.14549
871.20	4.45410	0.213	0.13654
871.75	4.45810	0.241	0.15422
872.30	4.46170	0.251	0.16060
872.85	4.46510	0.229	0.14600
873.40	4.46890	0.244	0.15605
873.95	4.47240	0.220	0.14071
874.50	4.47630	0.226	0.14452
875.05	4.48010	0.238	0.15190
875.60	4.48370	0.241	0.15342
876.15	4.48730	0.238	0.15157
876.70	4.49100	0.231	0.14704
877.25	4.49470	0.250	0.15948
877.80	4.49810	0.236	0.15054
878.35	4.50180	0.230	0.14617
878.90	4.50560	0.240	0.15246
879.45	4.50920	0.227	0.14464
880.00	4.51300	0.219	0.13900
880.55	4.51690	0.249	0.15800
881.10	4.52040	0.241	0.15326
881.65	4.52400	0.231	0.14643
882.20	4.52770	0.229	0.14556
882.75	4.53150	0.231	0.14632
883.30	4.53530	0.248	0.15762
883.85	4.53880	0.252	0.15978
884.40	4.54220	0.225	0.14296
884.95	4.54610	0.222	0.14068
885.50	4.55000	0.249	0.15774
886.05	4.55350	0.240	0.15224
886.60	4.55710	0.233	0.14732
887.15	4.56080	0.254	0.16084
887.70	4.56420	0.237	0.14976
888.25	4.56790	0.234	0.14817
888.80	4.57160	0.221	0.13957
889.35	4.57550	0.231	0.14625
889.90	4.57930	0.230	0.14539
890.45	4.58310	0.218	0.13751
891.00	4.58710	0.228	0.14376
891.55	4.59090	0.240	0.15168
892.10	4.59450	0.212	0.13372
892.65	4.59860	0.241	0.15167
893.20	4.60230	0.239	0.15048
893.75	4.60590	0.236	0.14893
894.30	4.60960	0.238	0.14973
894.85	4.61330	0.239	0.15041
895.40	4.61690	0.230	0.14485
895.95	4.62070	0.215	0.13533
896.50	4.62480	0.192	0.12051
897.05	4.62940	0.245	0.15397
897.60	4.63290	0.250	0.15723
898.15	4.63640	0.242	0.15191
898.70	4.64010	0.244	0.15322
899.25	4.64360	0.244	0.15307
899.80	4.64720	0.240	0.15084
900.35	4.65090	0.249	0.15616
900.90	4.65440	0.237	0.14832
901.45	4.65810	0.240	0.15056
902.00	4.66180	0.239	0.15000
902.55	4.66540	0.227	0.14217
903.10	4.66930	0.233	0.14591
903.65	4.67310	0.233	0.14608
904.20	4.67680	0.205	0.12835
904.75	4.68110	0.240	0.15013
905.30	4.68480	0.237	0.14809
905.85	4.68850	0.240	0.14971
906.40	4.69220	0.246	0.15355
906.95	4.69570	0.230	0.14349
907.50	4.69960	0.200	0.12478
908.05	4.70400	0.230	0.14327
908.60	4.70780	0.218	0.13570
909.15	4.71190	0.236	0.14695
909.70	4.71560	0.236	0.14690
910.25	4.71940	0.224	0.13976
910.80	4.72330	0.223	0.13885
911.35	4.72730	0.220	0.13683
911.90	4.73130	0.239	0.14899
912.45	4.73500	0.235	0.14641
913.00	4.73870	0.216	0.13454
913.55	4.74280	0.226	0.14051
914.10	4.74670	0.255	0.15866
914.65	4.75020	0.238	0.14788
915.20	4.75390	0.237	0.14688
915.75	4.75770	0.235	0.14608
916.30	4.76140	0.228	0.14119
916.85	4.76530	0.243	0.15048
917.40	4.76900	0.251	0.15545
917.95	4.77250	0.238	0.14734
918.50	4.77620	0.213	0.13185
919.05	4.78040	0.239	0.14775
919.60	4.78410	0.229	0.14168
920.15	4.78800	0.233	0.14444
920.70	4.79180	0.229	0.14146
921.25	4.79570	0.203	0.12565
921.80	4.80010	0.238	0.14736
922.35	4.80380	0.245	0.15114
922.90	4.80740	0.238	0.14725
923.45	4.81120	0.236	0.14552
924.00	4.81500	0.245	0.15144
924.55	4.81860	0.249	0.15368
925.10	4.82220	0.227	0.13976
925.65	4.82610	0.225	0.13864
926.20	4.83010	0.242	0.14922
926.75	4.83380	0.243	0.14984
927.30	4.83740	0.235	0.14449
927.85	4.84120	0.245	0.15076
928.40	4.84490	0.240	0.14741
928.95	4.84860	0.234	0.14367
929.50	4.85240	0.230	0.14129
930.05	4.85630	0.240	0.14744
930.60	4.86010	0.233	0.14318
931.15	4.86390	0.246	0.15096
931.70	4.86750	0.242	0.14856
932.25	4.87120	0.226	0.13895
932.80	4.87520	0.234	0.14329
933.35	4.87900	0.229	0.14011
933.90	4.88300	0.231	0.14142
934.45	4.88690	0.223	0.13661
935.00	4.89090	0.234	0.14329
935.55	4.89470	0.248	0.15175
936.10	4.89830	0.230	0.14064
936.65	4.90220	0.250	0.15290
937.20	4.90580	0.247	0.15078
937.75	4.90950	0.251	0.15328
938.30	4.91310	0.235	0.14360
938.85	4.91690	0.242	0.14782
939.40	4.92060	0.229	0.13964
939.95	4.92460	0.225	0.13704
940.50	4.92860	0.228	0.13919
941.05	4.93250	0.235	0.14312
941.60	4.93640	0.245	0.14923
942.15	4.94010	0.257	0.15663
942.70	4.94360	0.242	0.14723
943.25	4.94730	0.230	0.14005
943.80	4.95120	0.243	0.14798
944.35	4.95490	0.234	0.14257
944.90	4.95880	0.233	0.14176
945.45	4.96270	0.224	0.13639
946.00	4.96670	0.252	0.15327
946.55	4.97030	0.210	0.12739
947.10	4.97460	0.243	0.14773
947.65	4.97830	0.237	0.14402
948.20	4.98220	0.246	0.14918
948.75	4.98580	0.250	0.15145
949.30	4.98950	0.230	0.13924
949.85	4.99340	0.228	0.13828
950.40	4.99740	0.238	0.14446
950.95	5.00120	0.243	0.14733
951.50	5.00490	0.247	0.14954
952.05	5.00860	0.253	0.15315
952.60	5.01220	0.245	0.14818
953.15	5.01590	0.253	0.15326
953.70	5.01950	0.244	0.14751
954.25	5.02320	0.227	0.13694
954.80	5.02730	0.217	0.13093
955.35	5.03150	0.233	0.14040
955.90	5.03540	0.237	0.14309
956.45	5.03920	0.236	0.14252
957.00	5.04310	0.225	0.13564
957.55	5.04710	0.254	0.15300
958.10	5.05070	0.249	0.14988
958.65	5.05440	0.248	0.14931
959.20	5.05810	0.239	0.14417
959.75	5.06190	0.231	0.13932
960.30	5.06580	0.237	0.14285
960.85	5.06970	0.224	0.13492
961.40	5.07380	0.222	0.13346
961.95	5.07790	0.244	0.14684
962.50	5.08160	0.247	0.14856
963.05	5.08530	0.239	0.14328
963.60	5.08920	0.228	0.13706
964.15	5.09320	0.225	0.13484
964.70	5.09720	0.229	0.13751
965.25	5.10120	0.218	0.13094
965.80	5.10540	0.211	0.12669
966.35	5.10980	0.253	0.15139
966.90	5.11340	0.231	0.13807
967.45	5.11740	0.238	0.14233
968.00	5.12130	0.252	0.15060
968.55	5.12490	0.238	0.14232
969.10	5.12880	0.252	0.15048
969.65	5.13240	0.243	0.14540
970.20	5.13620	0.218	0.13048
970.75	5.14040	0.229	0.13692
971.30	5.14440	0.248	0.14780
971.85	5.14820	0.247	0.14732
972.40	5.15190	0.234	0.13935
972.95	5.15580	0.234	0.13982
973.50	5.15980	0.249	0.14841
974.05	5.16350	0.239	0.14265
974.60	5.16730	0.234	0.13966
975.15	5.17130	0.224	0.13310
975.70	5.17540	0.221	0.13140
976.25	5.17960	0.234	0.13950
976.80	5.18350	0.227	0.13477
977.35	5.18760	0.240	0.14280
977.90	5.19150	0.234	0.13912
978.45	5.19540	0.217	0.12863
979.00	5.19970	0.251	0.14880
979.55	5.20340	0.248	0.14702
980.10	5.20710	0.219	0.12968
980.65	5.21140	0.234	0.13885
981.20	5.21530	0.229	0.13590
981.75	5.21940	0.243	0.14377
982.30	5.22320	0.231	0.13656
982.85	5.22720	0.246	0.14590
983.40	5.23100	0.231	0.13656
983.95	5.23500	0.219	0.12956
984.50	5.23930	0.234	0.13867
985.05	5.24320	0.222	0.13111
985.60	5.24740	0.229	0.13547
986.15	5.25150	0.216	0.12768
986.70	5.25580	0.225	0.13291
987.25	5.25990	0.251	0.14838
987.80	5.26360	0.231	0.13602
988.35	5.26770	0.238	0.14051
988.90	5.27160	0.212	0.12523
989.45	5.27600	0.232	0.13682
990.00	5.28000	0.236	0.13914
990.55	5.28400	0.228	0.13411
991.10	5.28810	0.246	0.14452
991.65	5.29190	0.230	0.13542
992.20	5.29590	0.242	0.14214
992.75	5.29980	0.225	0.13233
993.30	5.30390	0.234	0.13779
993.85	5.30790	0.245	0.14388
994.40	5.31180	0.218	0.12776
994.95	5.31610	0.251	0.14740
995.50	5.31980	0.244	0.14299
996.05	5.32360	0.245	0.14356
996.60	5.32750	0.229	0.13396
997.15	5.33160	0.205	0.12011
997.70	5.33620	0.229	0.13396
998.25	5.34030	0.236	0.13842
998.80	5.34420	0.225	0.13141
999.35	5.34840	0.235	0.13760
999.90	5.35240	0.227	0.13265
1000.45	5.35660	0.231	0.13499
1001.00	5.36060	0.233	0.13630
1001.55	5.36470	0.256	0.14955
1002.10	5.36830	0.260	0.15162
1002.65	5.37200	0.231	0.13466
1003.20	5.37610	0.251	0.14652
1003.75	5.37980	0.237	0.13816
1004.30	5.38380	0.229	0.13332
1004.85	5.38790	0.230	0.13392
1005.40	5.39200	0.216	0.12603
1005.95	5.39640	0.231	0.13424
1006.50	5.40050	0.235	0.13698
1007.05	5.40450	0.243	0.14134
1007.60	5.40840	0.212	0.12354
1008.15	5.41280	0.239	0.13889
1008.70	5.41680	0.244	0.14153
1009.25	5.42070	0.242	0.14075
1009.80	5.42460	0.231	0.13439
1010.35	5.42870	0.231	0.13391
1010.90	5.43280	0.231	0.13428
1011.45	5.43690	0.240	0.13894
1012.00	5.44080	0.245	0.14198
1012.55	5.44470	0.238	0.13786
1013.10	5.44870	0.241	0.13971
1013.65	5.45260	0.247	0.14292
1014.20	5.45650	0.237	0.13721
1014.75	5.46050	0.220	0.12716
1015.30	5.46480	0.215	0.12440
1015.85	5.46920	0.241	0.13943
1016.40	5.47320	0.244	0.14073
1016.95	5.47710	0.236	0.13634
1017.50	5.48110	0.245	0.14141
1018.05	5.48500	0.238	0.13730
1018.60	5.48900	0.228	0.13139
1019.15	5.49320	0.231	0.13304
1019.70	5.49730	0.229	0.13225
1020.25	5.50150	0.226	0.13014
1020.80	5.50570	0.249	0.14340
1021.35	5.50950	0.233	0.13387
1021.90	5.51370	0.225	0.12976
1022.45	5.51790	0.240	0.13819
1023.00	5.52190	0.234	0.13452
1023.55	5.52600	0.239	0.13742
1024.10	5.53000	0.230	0.13203
1024.65	5.53410	0.245	0.14084
1025.20	5.53800	0.249	0.14293
1025.75	5.54190	0.257	0.14742
1026.30	5.54560	0.246	0.14101
1026.85	5.54950	0.241	0.13811
1027.40	5.55350	0.223	0.12790
1027.95	5.55780	0.218	0.12488
1028.50	5.56220	0.228	0.13054
1029.05	5.56640	0.229	0.13080
1029.60	5.57060	0.253	0.14451
1030.15	5.57440	0.244	0.13948
1030.70	5.57840	0.247	0.14122
1031.25	5.58220	0.246	0.14057
1031.80	5.58620	0.227	0.12979
1032.35	5.59040	0.238	0.13605
1032.90	5.59440	0.227	0.12946
1033.45	5.59870	0.245	0.13983
1034.00	5.60260	0.239	0.13636
1034.55	5.60670	0.243	0.13832
1035.10	5.61060	0.226	0.12904
1035.65	5.61490	0.242	0.13812
1036.20	5.61890	0.251	0.14284
1036.75	5.62270	0.220	0.12533
1037.30	5.62710	0.236	0.13419
1037.85	5.63120	0.215	0.12234
1038.40	5.63570	0.254	0.14434
1038.95	5.63950	0.246	0.13994
1039.50	5.64340	0.248	0.14078
1040.05	5.64730	0.248	0.14056
1040.60	5.65130	0.243	0.13778
1041.15	5.65520	0.220	0.12491
1041.70	5.65970	0.232	0.13176
1042.25	5.66380	0.225	0.12748
1042.80	5.66810	0.246	0.13928
1043.35	5.67210	0.235	0.13300
1043.90	5.67620	0.249	0.14111
1044.45	5.68010	0.223	0.12639
1045.00	5.68450	0.240	0.13588
1045.55	5.68850	0.240	0.13555
1046.10	5.69260	0.253	0.14288
1046.65	5.69640	0.225	0.12695
1047.20	5.70080	0.218	0.12321
1047.75	5.70520	0.231	0.13044
1048.30	5.70940	0.247	0.13920
1048.85	5.71340	0.242	0.13622
1049.40	5.71740	0.238	0.13404
1049.95	5.72150	0.237	0.13369
1050.50	5.72560	0.229	0.12893
1051.05	5.72990	0.242	0.13608
1051.60	5.73390	0.247	0.13918
1052.15	5.73790	0.239	0.13460
1052.70	5.74200	0.246	0.13849
1053.25	5.74590	0.245	0.13751
1053.80	5.74990	0.241	0.13553
1054.35	5.75400	0.253	0.14234
1054.90	5.75790	0.253	0.14207
1055.45	5.76170	0.242	0.13590
1056.00	5.76580	0.238	0.13327
1056.55	5.76990	0.191	0.10682
1057.10	5.77510	0.234	0.13142
1057.65	5.77920	0.239	0.13367
1058.20	5.78340	0.215	0.12036
1058.75	5.78790	0.225	0.12568
1059.30	5.79230	0.238	0.13303
1059.85	5.79640	0.219	0.12260
1060.40	5.80090	0.234	0.13110
1060.95	5.80510	0.241	0.13444
1061.50	5.80920	0.230	0.12827
1062.05	5.81350	0.248	0.13864
1062.60	5.81750	0.243	0.13568
1063.15	5.82150	0.252	0.14040
1063.70	5.82540	0.220	0.12269
1064.25	5.82990	0.238	0.13281
1064.80	5.83400	0.249	0.13874
1065.35	5.83800	0.233	0.12952
1065.90	5.84230	0.240	0.13348
1066.45	5.84640	0.248	0.13801
1067.00	5.85040	0.250	0.13896
1067.55	5.85430	0.248	0.13782
1068.10	5.85830	0.231	0.12844
1068.65	5.86260	0.223	0.12398
1069.20	5.86700	0.241	0.13404
1069.75	5.87110	0.243	0.13477
1070.30	5.87520	0.241	0.13357
1070.85	5.87930	0.220	0.12180
1071.40	5.88380	0.248	0.13765
1071.95	5.88780	0.251	0.13932
1072.50	5.89180	0.236	0.13094
1073.05	5.89600	0.250	0.13847
1073.60	5.89990	0.224	0.12394
1074.15	5.90440	0.241	0.13335
1074.70	5.90850	0.229	0.12657
1075.25	5.91290	0.232	0.12824
1075.80	5.91710	0.235	0.13004
1076.35	5.92140	0.248	0.13720
1076.90	5.92540	0.251	0.13872
1077.45	5.92930	0.193	0.10674
1078.00	5.93450	0.227	0.12532
1078.55	5.93890	0.235	0.12948
1079.10	5.94310	0.237	0.13056
1079.65	5.94730	0.225	0.12422
1080.20	5.95180	0.236	0.13017
1080.75	5.95600	0.229	0.12588
1081.30	5.96040	0.228	0.12541
1081.85	5.96470	0.233	0.12808
1082.40	5.96900	0.218	0.11994
1082.95	5.97360	0.223	0.12273
1083.50	5.97810	0.221	0.12127
1084.05	5.98260	0.248	0.13600
1084.60	5.98670	0.231	0.12662
1085.15	5.99100	0.229	0.12586
1085.70	5.99540	0.234	0.12838
1086.25	5.99970	0.252	0.13821
1086.80	6.00370	0.248	0.13563
1087.35	6.00770	0.226	0.12400
1087.90	6.01210	0.237	0.12958
1088.45	6.01640	0.218	0.11938
1089.00	6.02100	0.234	0.12824
1089.55	6.02530	0.221	0.12092
1090.10	6.02980	0.240	0.13136
1090.65	6.03400	0.233	0.12721
1091.20	6.03830	0.245	0.13364
1091.75	6.04240	0.220	0.11984
