/* DATA DESCRIPTION:
Citation:	Alley, Richard B (1999): GISP2 Stratigraphy [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.56103
Related to:	Alley, Richard B; Meese, D A; Shuman, Christopher A; Gow, A J; Taylor, Kendrick C; Grootes, Pieter Meiert; White, James W C; Ram, M; Waddington, Edwin D; Mayewski, Paul Andrew; Zielinski, G A (1993): Abrupt increase in Greenland snow accumulation at the end of the Younger Dryas event. Nature, 362(6420), 527-529, https://doi.org/10.1038/362527a0
	Alley, Richard B; Saltzman, Eric S; Cuffey, Kurt M; Fitzpatrick, Joan J (1990): Summertime formation of depth hoar in central Greenland. Geophysical Research Letters, 17, 2393-2396, https://doi.org/10.1029/GL017i013p02393
	Alley, Richard B; Shuman, Christopher A; Meese, D A; Gow, A J; Taylor, Kendrick C; Cuffey, Kurt M; Fitzpatrick, Joan J; Grootes, Pieter Meiert; Zielinski, G A; Ram, M; Spinelli, Glenn; Elder, Bruce C (1997): Visual-stratigraphic dating of the GISP2 ice core: Basis, reproducibility, and application. Journal of Geophysical Research: Oceans, 102(C12), 26367-26382, https://doi.org/10.1029/96JC03837
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Kapsner, W R; Alley, Richard B; Shuman, Christopher A; Anandakrishnan, Sridhar; Grootes, Pieter Meiert (1995): Dominant influence of atmospheric circulation on snow accumulation in Greenland over the past 18,000 years. Nature, 373(6509), 52-54, https://doi.org/10.1038/373052a0
	Meese, D A; Gow, A J; Alley, Richard B; Zielinski, G A; Grootes, Pieter Meiert; Ram, M; Taylor, Kendrick C; Mayewski, Paul Andrew; Bolzan, J F (1997): The Greenland Ice Sheet Project 2 depth-age scale: Methods and results. Journal of Geophysical Research: Oceans, 102(C12), 26411-26424, https://doi.org/10.1029/97JC00269
	Spinelli, Glenn (1996): A statistical analysis of ice-accumulation level and variability in the GISP2 ice core and a reexamination of the age of the termination of the Younger Dryas cooling episode. Earth System Science Center Technical Report University of New, 96-001
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.588000 * LONGITUDE: -38.457000
	MINIMUM ELEVATION: 3203.0 m * MAXIMUM ELEVATION: 3203.0 m
Event(s):	GISP2-D_Strat * LATITUDE: 72.588000 * LONGITUDE: -38.457000 * ELEVATION: 3203.0 m * LOCATION: Greenland * CAMPAIGN: GISP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Dummy (DUMMY)
Comment:	Depths of mid-summer as determined separately from ECM and visual stratigraphy in the GISP2-D ice core. Also given are calculated layer thicknesses (true and ice equivalent) and calculated accumulation rates. Factor A = (accum)/(layer thickness). Summ. refers to the calender year associated with the mid-summer pick.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated from conductivity
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy
	Age [a AD/CE] (Age) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy * COMMENT: mid-summer pick
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: true layer thickness
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: ice equivalent layer thickness
	Density [g/cm**3] (Density) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Factor (Factor) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: Factor A = (accum)/(layer thickness)
	Correction (corr) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu)
	Interval comments (Interval comm) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual description
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8237 data points
*/
Age [ka BP]	Depth ref [m] (Calculated from conductivity)	Depth ref [m] (Visual stratigraphy)	Age [a AD/CE] (mid-summer pick, Visual strat...)	Thickness [m] (true layer thickness, Calculated)	Thickness [m] (ice equivalent layer thicknes...)	Density [g/cm**3] (Pycnometer (Micromeritics))	Factor (Factor A = (accum)/(layer thi...)	corr	Interval comm (Visual description)
0.76400	216.98	217.01	1186	0.2100	0.1930	0.917	1.068	0.206	
0.76500	217.30	217.25	1185	0.2400	0.2200	0.917	1.068	0.235	
0.76600		217.45	1184	0.2000	0.1830	0.917	1.068	0.196	No ECM
0.76700	217.58	217.63	1183	0.1800	0.1650	0.917	1.068	0.176	.63-.64 bubble-poor melt
0.76800	217.80	217.83	1182	0.2000	0.1830	0.917	1.068	0.196	
0.76900	218.07	218.07	1181	0.2400	0.2200	0.917	1.068	0.235	
0.77000	218.34	218.37	1180	0.3000	0.2750	0.917	1.069	0.294	
0.77100	218.62	218.57	1179	0.2000	0.1830	0.917	1.069	0.196	
0.77200	219.08	218.91	1178	0.3400	0.3120	0.917	1.069	0.333	
0.77300	219.30	219.30	1177	0.3900	0.3580	0.917	1.069	0.382	
0.77400	219.53	219.53	1176	0.2300	0.2110	0.917	1.069	0.225	
0.77500	219.70	219.72	1175	0.1900	0.1740	0.917	1.069	0.186	
0.77600	220.08	220.09	1174	0.3700	0.3390	0.917	1.069	0.363	questionable
0.77700	220.33	220.32	1173	0.2300	0.2110	0.917	1.069	0.226	Badly cracked core
0.77800	220.53	220.56	1172	0.2400	0.2200	0.917	1.069	0.235	Extrapolated Depth
0.77900	220.77	220.79	1171	0.2300	0.2110	0.917	1.070	0.226	
0.78000	221.06	221.09	1170	0.3000	0.2750	0.917	1.070	0.294	
0.78100	221.31	221.27	1169	0.1800	0.1650	0.917	1.070	0.177	
0.78200	221.53	221.52	1168	0.2500	0.2290	0.917	1.070	0.245	
0.78300	221.76	221.79	1167	0.2700	0.2480	0.917	1.070	0.265	
0.78400	221.95	222.06	1166	0.2700	0.2480	0.917	1.070	0.265	
0.78500	222.26	222.26	1165	0.2000	0.1830	0.917	1.070	0.196	
0.78600	222.46	222.42	1164	0.1600	0.1470	0.917	1.070	0.157	
0.78700	222.66	222.64	1163	0.2200	0.2020	0.917	1.070	0.216	Extrapolated Depth
0.78800	222.90	222.86	1162	0.2200	0.2020	0.917	1.070	0.216	222.55-.75 fractured
0.78900	223.08	223.08	1161	0.2200	0.2020	0.917	1.070	0.216	
0.79000	223.35	223.38	1160	0.3000	0.2750	0.917	1.071	0.294	
0.79100	223.52	223.58	1159	0.2000	0.1830	0.917	1.071	0.196	
0.79200	223.75	223.82	1158	0.2400	0.2200	0.917	1.071	0.236	
0.79300	224.00	224.05	1157	0.2300	0.2110	0.917	1.071	0.226	Extrapolated Depth
0.79400	224.21	224.29	1156	0.2400	0.2200	0.917	1.071	0.236	Extrapolated Depth
0.79500	224.45	224.52	1155	0.2300	0.2110	0.917	1.071	0.226	Extrapolated Depth
0.79600	224.82	224.75	1154	0.2300	0.2110	0.917	1.071	0.226	224.09-.63 fractured
0.79700	225.02	225.04	1153	0.2900	0.2660	0.917	1.071	0.285	
0.79800	225.25	225.31	1152	0.2700	0.2480	0.917	1.071	0.265	
0.79900	225.53	225.56	1151	0.2500	0.2290	0.917	1.071	0.246	
0.80000	225.84	225.80	1150	0.2400	0.2200	0.917	1.071	0.236	
0.80100	225.96	225.99	1149	0.1900	0.1740	0.917	1.072	0.187	
0.80200	226.20	226.23	1148	0.2400	0.2200	0.917	1.072	0.236	
0.80300	226.44	226.53	1147	0.3000	0.2750	0.917	1.072	0.295	Extrapolated Depth
0.80400	226.80	226.83	1146	0.3000	0.2750	0.917	1.072	0.295	
0.80500	227.04	227.05	1145	0.2200	0.2020	0.917	1.072	0.216	
0.80600	227.32	227.33	1144	0.2800	0.2570	0.917	1.072	0.275	
0.80700	227.55	227.51	1143	0.1800	0.1650	0.917	1.072	0.177	
0.80800	227.75	227.75	1142	0.2400	0.2200	0.917	1.072	0.236	
0.80900	228.03	228.01	1141	0.2600	0.2380	0.917	1.072	0.256	
0.81000	228.27	228.27	1140	0.2600	0.2380	0.917	1.072	0.256	
0.81100	228.47	228.47	1139	0.2000	0.1830	0.917	1.072	0.197	
0.81200	228.72	228.75	1138	0.2800	0.2570	0.917	1.073	0.275	
0.81300	228.90	228.90	1137	0.1500	0.1380	0.917	1.073	0.148	
0.81400	229.17	229.18	1136	0.2800	0.2570	0.917	1.073	0.275	Fractured core
0.81500	229.41	229.40	1135	0.2200	0.2020	0.917	1.073	0.216	Extrapolated Depth
0.81600	229.63	229.63	1134	0.2300	0.2110	0.917	1.073	0.226	Extrapolated Depth
0.81700	229.85	229.85	1133	0.2200	0.2020	0.917	1.073	0.216	
0.81800	230.00	230.00	1132	0.1500	0.1380	0.917	1.073	0.148	
0.81900	230.37	230.40	1131	0.4000	0.3670	0.917	1.073	0.394	long year
0.82000	230.58	230.65	1130	0.2500	0.2290	0.917	1.073	0.246	
0.82100	230.80		1129	0.1500	0.1380	0.917	1.074	0.148	No Strat
0.82200	231.04	231.07	1128	0.2700	0.2480	0.917	1.074	0.266	
0.82300	231.32	231.39	1127	0.3200	0.2930	0.917	1.074	0.315	
0.82400	231.57	231.61	1126	0.2200	0.2020	0.917	1.074	0.217	
0.82500	232.00	231.90	1125	0.2900	0.2660	0.917	1.074	0.286	
0.82600	232.18	232.09	1124	0.1900	0.1740	0.917	1.074	0.187	
0.82700	232.38	232.42	1123	0.3300	0.3030	0.917	1.074	0.325	232.7-233.5 stratigraphy obliterated
0.82800	232.60	232.66	1122	0.2400	0.2200	0.917	1.074	0.236	Extrapolated Depth
0.82900	232.83	232.89	1121	0.2300	0.2110	0.917	1.074	0.227	Extrapolated Depth
0.83000	233.09	233.13	1120	0.2400	0.2200	0.917	1.074	0.236	Extrapolated Depth
0.83100	233.28	233.36	1119	0.2300	0.2110	0.917	1.074	0.227	Extrapolated Depth
0.83200	233.66	233.60	1118	0.2400	0.2200	0.917	1.075	0.236	Extrapolated Depth
0.83300	233.88	233.83	1117	0.2300	0.2110	0.917	1.075	0.227	
0.83400		234.03	1116	0.2000	0.1830	0.917	1.075	0.197	No ECM
0.83500	234.19	234.26	1115	0.2300	0.2110	0.917	1.075	0.227	
0.83600	234.50	234.48	1114	0.2200	0.2020	0.917	1.075	0.217	
0.83700	234.73	234.75	1113	0.2700	0.2480	0.917	1.075	0.266	
0.83800	234.98	234.94	1112	0.1900	0.1740	0.917	1.075	0.187	
0.83900	235.24	235.22	1111	0.2800	0.2570	0.917	1.075	0.276	
0.84000	235.42	235.44	1110	0.2200	0.2020	0.917	1.075	0.217	
0.84100	235.71	235.70	1109	0.2600	0.2380	0.917	1.075	0.256	
0.84200	235.88	235.87	1108	0.1700	0.1560	0.917	1.075	0.168	
0.84300	236.06	236.13	1107	0.2600	0.2380	0.917	1.076	0.256	
0.84400	236.42	236.42	1106	0.2900	0.2660	0.917	1.076	0.286	
0.84500	236.86	236.84	1105	0.4200	0.3850	0.917	1.076	0.414	.82-.87 melt zone
0.84600	237.00	237.02	1104	0.1800	0.1650	0.917	1.076	0.178	
0.84700	237.25	237.25	1103	0.2300	0.2110	0.917	1.076	0.227	
0.84800	237.42	237.48	1102	0.2300	0.2110	0.917	1.076	0.227	237.54-240 wafered
0.84900		237.69	1101	0.2100	0.1930	0.917	1.076	0.207	Extrapolated Depth
0.85000		237.90	1100	0.2100	0.1930	0.917	1.076	0.207	Extrapolated Depth
0.85100		238.11	1099	0.2100	0.1930	0.917	1.076	0.207	Extrapolated Depth
0.85200		238.31	1098	0.2000	0.1830	0.917	1.076	0.197	Extrapolated Depth
0.85300		238.52	1097	0.2100	0.1930	0.917	1.076	0.207	Extrapolated Depth
0.85400		238.73	1096	0.2100	0.1930	0.917	1.077	0.207	Extrapolated Depth
0.85500		238.94	1095	0.2100	0.1930	0.917	1.077	0.207	Extrapolated Depth
0.85600		239.15	1094	0.2100	0.1930	0.917	1.077	0.207	Extrapolated Depth
0.85700		239.36	1093	0.2100	0.1930	0.917	1.077	0.207	Extrapolated Depth
0.85800		239.56	1092	0.2000	0.1830	0.917	1.077	0.197	Extrapolated Depth
0.85900		239.77	1091	0.2100	0.1930	0.917	1.077	0.207	Extrapolated Depth
0.86000		239.98	1090	0.2100	0.1930	0.917	1.077	0.207	Extrapolated Depth
0.86100	240.19	240.19	1089	0.2100	0.1930	0.917	1.077	0.207	
0.86200	240.38	240.41	1088	0.2200	0.2020	0.917	1.077	0.217	
0.86300	240.59	240.59	1087	0.1800	0.1650	0.917	1.077	0.178	
0.86400	240.73	240.71	1086	0.1200	0.1100	0.917	1.077	0.119	
0.86500	240.90	240.90	1085	0.1900	0.1740	0.917	1.077	0.188	
0.86600	241.09	241.10	1084	0.2000	0.1830	0.917	1.077	0.198	
0.86700	241.25	241.30	1083	0.2000	0.1830	0.917	1.078	0.198	
0.86800	241.49	241.57	1082	0.2700	0.2480	0.917	1.078	0.267	
0.86900	241.69	241.75	1081	0.1800	0.1650	0.917	1.078	0.178	
0.87000	241.90	241.90	1080	0.1500	0.1380	0.917	1.078	0.148	
0.87100	242.04	242.13	1079	0.2300	0.2110	0.917	1.078	0.227	
0.87200	242.42	242.46	1078	0.3300	0.3030	0.917	1.078	0.326	
0.87300	242.68	242.71	1077	0.2500	0.2290	0.917	1.078	0.247	
0.87400	242.86	242.90	1076	0.1900	0.1740	0.917	1.078	0.188	
0.87500	243.08	243.18	1075	0.2800	0.2570	0.917	1.078	0.277	
0.87600	243.40	243.49	1074	0.3100	0.2840	0.917	1.078	0.307	
0.87700	243.72	243.73	1073	0.2400	0.2200	0.917	1.079	0.237	
0.87800	243.92	244.10	1072	0.3700	0.3390	0.917	1.079	0.366	244.45-.71 lost core
0.87900	244.36	244.36	1071	0.2600	0.2380	0.917	1.079	0.257	Extrapolated Depth
0.88000		244.63	1070	0.2700	0.2480	0.917	1.079	0.267	Extrapolated Depth
0.88100	244.92	244.96	1069	0.3300	0.3030	0.917	1.079	0.327	
0.88200	245.22	245.23	1068	0.2700	0.2480	0.917	1.079	0.267	
0.88300	245.43	245.44	1067	0.2100	0.1930	0.917	1.079	0.208	
0.88400	245.62	245.63	1066	0.1900	0.1740	0.917	1.079	0.188	
0.88500	245.88	245.89	1065	0.2600	0.2380	0.917	1.079	0.257	
0.88600	246.25	246.25	1064	0.3600	0.3300	0.917	1.080	0.356	
0.88700	246.49	246.51	1063	0.2600	0.2380	0.917	1.080	0.257	
0.88800	246.75	246.77	1062	0.2600	0.2380	0.917	1.080	0.257	
0.88900	246.94	247.01	1061	0.2400	0.2200	0.917	1.080	0.238	questionable
0.89000	247.22	247.25	1060	0.2400	0.2200	0.917	1.080	0.238	
0.89100	247.54	247.54	1059	0.2900	0.2660	0.917	1.080	0.287	
0.89200	247.80	247.78	1058	0.2400	0.2200	0.917	1.080	0.238	
0.89300	248.02	248.06	1057	0.2800	0.2570	0.917	1.080	0.277	
0.89400	248.12	248.30	1056	0.2400	0.2200	0.917	1.080	0.238	
0.89500	248.49	248.48	1055	0.1800	0.1650	0.917	1.080	0.178	
0.89600	248.78	248.83	1054	0.3500	0.3210	0.917	1.081	0.347	
0.89700	249.02	249.06	1053	0.2300	0.2110	0.917	1.081	0.228	
0.89800	249.27	249.28	1052	0.2200	0.2020	0.917	1.081	0.218	
0.89900	249.50	249.52	1051	0.2400	0.2200	0.917	1.081	0.238	
0.90000	249.66	249.67	1050	0.1500	0.1380	0.917	1.081	0.149	
0.90100	249.96	249.99	1049	0.3200	0.2930	0.917	1.081	0.317	
0.90200	250.15	250.22	1048	0.2300	0.2110	0.918	1.081	0.228	
0.90300	250.38	250.40	1047	0.1800	0.1650	0.918	1.081	0.179	
0.90400	250.60	250.64	1046	0.2400	0.2200	0.918	1.081	0.238	
0.90500	250.80		1045	0.1600	0.1470	0.918	1.081	0.159	No Strat
0.90600	250.98		1044	0.1800	0.1650	0.918	1.081	0.179	No Strat
0.90700	251.14	251.01	1043	0.1600	0.1470	0.918	1.081	0.159	
0.90800	251.42	251.33	1042	0.3200	0.2940	0.918	1.082	0.318	
0.90900	251.64	251.65	1041	0.3200	0.2940	0.918	1.082	0.318	
0.91000	251.81	251.82	1040	0.1700	0.1560	0.918	1.082	0.169	
0.91100	252.01		1039	0.1900	0.1740	0.918	1.082	0.189	No Strat
0.91200	252.20	252.17	1038	0.1600	0.1470	0.918	1.082	0.159	
0.91300	252.46	252.48	1037	0.3100	0.2850	0.918	1.082	0.308	
0.91400	252.77	252.75	1036	0.2700	0.2480	0.918	1.082	0.268	
0.91500	252.06	253.03	1035	0.2800	0.2570	0.918	1.082	0.278	
0.91600	253.21	253.24	1034	0.2100	0.1930	0.918	1.082	0.209	
0.91700	253.46	253.50	1033	0.2600	0.2390	0.918	1.083	0.258	
0.91800	253.86	253.90	1032	0.4000	0.3670	0.918	1.083	0.398	
0.91900	254.16	254.16	1031	0.2600	0.2390	0.918	1.083	0.258	
0.92000	254.40	254.37	1030	0.2100	0.1930	0.918	1.083	0.209	
0.92100	254.58	254.67	1029	0.3000	0.2750	0.918	1.083	0.298	
0.92200	254.84	254.86	1028	0.1900	0.1740	0.918	1.083	0.189	
0.92300	255.06	255.09	1027	0.2300	0.2110	0.918	1.083	0.229	
0.92400	255.26	255.28	1026	0.1900	0.1740	0.918	1.083	0.189	
0.92500	255.52	255.50	1025	0.2200	0.2020	0.918	1.083	0.219	
0.92600	255.77	255.76	1024	0.2600	0.2390	0.918	1.083	0.259	
0.92700	256.00	255.99	1023	0.2300	0.2110	0.918	1.084	0.229	
0.92800	256.20	256.25	1022	0.2600	0.2390	0.918	1.084	0.259	
0.92900	256.45	256.47	1021	0.2200	0.2020	0.918	1.084	0.219	
0.93000	256.71	256.70	1020	0.2300	0.2110	0.918	1.084	0.229	
0.93100	256.90	256.92	1019	0.2200	0.2020	0.918	1.084	0.219	
0.93200	257.20	257.10	1018	0.1800	0.1650	0.918	1.084	0.179	
0.93300	257.42	257.41	1017	0.3100	0.2850	0.918	1.084	0.309	
0.93400	257.62	257.52	1016	0.1100	0.1010	0.918	1.084	0.109	
0.93500	257.82	257.86	1015	0.3400	0.3120	0.918	1.084	0.338	
0.93600	258.04	258.07	1014	0.2100	0.1930	0.918	1.084	0.209	
0.93700	258.44	258.46	1013	0.3900	0.3580	0.918	1.085	0.388	long year
0.93800	258.62	258.64	1012	0.1800	0.1650	0.918	1.085	0.179	
0.93900	258.92	258.87	1011	0.2300	0.2110	0.918	1.085	0.229	
0.94000		259.08	1010	0.2100	0.1930	0.918	1.085	0.209	No ECM
0.94100	259.27	259.34	1009	0.2600	0.2390	0.918	1.085	0.259	
0.94200	259.53	259.56	1008	0.2200	0.2020	0.918	1.085	0.219	
0.94300	259.75	259.79	1007	0.2300	0.2110	0.918	1.085	0.229	
0.94400	259.99	260.06	1006	0.2700	0.2480	0.918	1.085	0.269	
0.94500	260.19	260.16	1005	0.1000	0.0920	0.918	1.085	0.100	.11-.21 melt zone
0.94600	260.45	260.39	1004	0.2300	0.2110	0.918	1.085	0.229	
0.94700	260.60	260.57	1003	0.1800	0.1650	0.918	1.085	0.179	
0.94800	260.74	260.70	1002	0.1300	0.1190	0.918	1.085	0.130	
0.94900	260.93	260.90	1001	0.2000	0.1840	0.918	1.086	0.199	
0.95000	261.45	261.35	1000	0.4500	0.4130	0.918	1.086	0.449	
0.95100	261.60	261.60	999	0.2500	0.2300	0.918	1.086	0.249	
0.95200	261.82	261.80	998	0.2000	0.1840	0.918	1.086	0.199	
0.95300	262.07	262.07	997	0.2700	0.2480	0.918	1.086	0.269	
0.95400	262.38	262.35	996	0.2800	0.2570	0.918	1.086	0.279	
0.95500	262.62	262.60	995	0.2500	0.2300	0.918	1.086	0.249	
0.95600	262.85	262.83	994	0.2300	0.2110	0.918	1.086	0.229	
0.95700	263.05	263.05	993	0.2200	0.2020	0.918	1.086	0.219	
0.95800	263.28	263.28	992	0.2300	0.2110	0.918	1.087	0.229	
0.95900	263.45	263.50	991	0.2200	0.2020	0.918	1.087	0.219	
0.96000	263.69	263.75	990	0.2500	0.2300	0.918	1.087	0.249	
0.96100	264.00	264.03	989	0.2800	0.2570	0.918	1.087	0.279	
0.96200	264.21	264.29	988	0.2600	0.2390	0.918	1.087	0.259	
0.96300	264.53	264.51	987	0.2200	0.2020	0.918	1.087	0.220	
0.96400	264.76	264.77	986	0.2600	0.2390	0.918	1.087	0.259	
0.96500	264.91	264.94	985	0.1700	0.1560	0.918	1.087	0.170	
0.96600	265.15	265.22	984	0.2800	0.2570	0.918	1.087	0.279	.37-.49 core lost
0.96700	265.35	265.42	983	0.2000	0.1840	0.918	1.087	0.200	Extrapolated Depth
0.96800		265.61	982	0.1900	0.1740	0.918	1.087	0.190	
0.96900	265.70	265.79	981	0.1800	0.1650	0.918	1.088	0.180	
0.97000	265.94	265.93	980	0.1400	0.1290	0.918	1.088	0.140	
0.97100	266.14	266.14	979	0.2100	0.1930	0.918	1.088	0.210	
0.97200	266.37	266.35	978	0.2100	0.1930	0.918	1.088	0.210	
0.97300	266.56	266.59	977	0.2400	0.2200	0.918	1.088	0.240	
0.97400	266.85	266.84	976	0.2500	0.2300	0.918	1.088	0.250	
0.97500	267.04	267.03	975	0.1900	0.1740	0.918	1.088	0.190	
0.97600	267.28	267.29	974	0.2600	0.2390	0.918	1.088	0.260	
0.97700	267.56	267.51	973	0.2200	0.2020	0.918	1.088	0.220	.45 melt
0.97800	267.74	267.75	972	0.2400	0.2200	0.918	1.088	0.240	
0.97900	267.97	267.94	971	0.1900	0.1740	0.918	1.088	0.190	.09-.46 fractured
0.98000		268.12	970	0.1800	0.1650	0.918	1.089	0.180	Extrapolated Depth
0.98100	268.28	268.34	969	0.2200	0.2020	0.918	1.089	0.220	Extrapolated Depth
0.98200	268.54	268.56	968	0.2200	0.2020	0.918	1.089	0.220	
0.98300	268.79	268.85	967	0.2900	0.2660	0.918	1.089	0.290	
0.98400	269.05	269.03	966	0.1800	0.1650	0.918	1.089	0.180	
0.98500	269.30	269.34	965	0.3100	0.2850	0.918	1.089	0.310	
0.98600	269.52	269.54	964	0.2000	0.1840	0.918	1.089	0.200	
0.98700	269.75	269.78	963	0.2400	0.2200	0.918	1.089	0.240	questionable
0.98800	270.02	270.03	962	0.2500	0.2300	0.918	1.089	0.250	
0.98900	270.25	270.30	961	0.2700	0.2480	0.918	1.089	0.270	
0.99000	270.48		960	0.1800	0.1650	0.918	1.090	0.180	No Strat
0.99100	270.68	270.68	959	0.2000	0.1840	0.918	1.090	0.200	
0.99200	270.94	270.90	958	0.2200	0.2020	0.918	1.090	0.220	
0.99300	271.23	271.11	957	0.2100	0.1930	0.918	1.090	0.210	
0.99400	271.35	271.38	956	0.2700	0.2480	0.918	1.090	0.270	
0.99500	271.57	271.59	955	0.2100	0.1930	0.918	1.090	0.210	
0.99600	271.90	271.89	954	0.3000	0.2750	0.918	1.090	0.300	
0.99700	272.05	272.09	953	0.2000	0.1840	0.918	1.090	0.200	
0.99800	272.39	272.49	952	0.4000	0.3670	0.918	1.090	0.400	
0.99900	272.69	272.66	951	0.1700	0.1560	0.918	1.090	0.170	
1.00000	272.96	272.96	950	0.3000	0.2750	0.918	1.091	0.300	
1.00100	273.15	273.15	949	0.1900	0.1740	0.918	1.091	0.190	
1.00200	273.37	273.42	948	0.2700	0.2480	0.918	1.091	0.270	
1.00300	273.79	273.78	947	0.3600	0.3300	0.918	1.091	0.361	
1.00400	274.02	273.98	946	0.2000	0.1840	0.918	1.091	0.200	
1.00500	274.24	274.28	945	0.3000	0.2750	0.918	1.091	0.300	
1.00600	274.47	274.50	944	0.2200	0.2020	0.918	1.091	0.220	
1.00700	274.77	274.75	943	0.2500	0.2300	0.918	1.091	0.250	
1.00800	274.97	274.99	942	0.2400	0.2200	0.918	1.091	0.240	
1.00900	275.16	275.19	941	0.2000	0.1840	0.918	1.092	0.200	
1.01000	275.35	275.36	940	0.1700	0.1560	0.918	1.092	0.170	
1.01100	275.60	275.60	939	0.2400	0.2200	0.918	1.092	0.241	
1.01200	275.86	275.86	938	0.2600	0.2390	0.918	1.092	0.261	
1.01300		276.09	937	0.2300	0.2110	0.918	1.092	0.231	No ECM
1.01400	276.25	276.30	936	0.2100	0.1930	0.918	1.092	0.211	
1.01500	276.45	276.48	935	0.1800	0.1650	0.918	1.092	0.180	
1.01600	276.67	276.75	934	0.2700	0.2480	0.918	1.092	0.271	
1.01700	276.89	276.91	933	0.1600	0.1470	0.918	1.092	0.160	
1.01800	277.13	277.18	932	0.2700	0.2480	0.918	1.092	0.271	
1.01900	277.36	277.39	931	0.2100	0.1930	0.918	1.092	0.211	
1.02000	277.59	277.65	930	0.2600	0.2390	0.918	1.093	0.261	
1.02100	277.85	277.84	929	0.1900	0.1740	0.918	1.093	0.191	
1.02200	278.01	278.03	928	0.1900	0.1740	0.918	1.093	0.191	
1.02300	278.28	278.28	927	0.2500	0.2300	0.918	1.093	0.251	
1.02400	278.50	278.48	926	0.2000	0.1840	0.918	1.093	0.201	
1.02500	278.70	278.71	925	0.2300	0.2110	0.918	1.093	0.231	
1.02600	278.90	278.87	924	0.1600	0.1470	0.918	1.093	0.161	
1.02700	279.16	279.13	923	0.2600	0.2390	0.918	1.093	0.261	
1.02800	279.34	279.34	922	0.2100	0.1930	0.918	1.093	0.211	
1.02900	279.52	279.52	921	0.1800	0.1650	0.918	1.093	0.181	
1.03000	279.78	279.71	920	0.1900	0.1740	0.918	1.093	0.191	questionable
1.03100	279.94	279.92	919	0.2100	0.1930	0.918	1.094	0.211	
1.03200	280.20	280.17	918	0.2500	0.2300	0.918	1.094	0.251	
1.03300	280.42	280.41	917	0.2400	0.2200	0.918	1.094	0.241	
1.03400	280.66	280.61	916	0.2000	0.1840	0.918	1.094	0.201	
1.03500	280.95	280.84	915	0.2300	0.2110	0.918	1.094	0.231	
1.03600	281.10	281.10	914	0.2600	0.2390	0.918	1.094	0.261	
1.03700	281.35	281.33	913	0.2300	0.2110	0.918	1.094	0.231	
1.03800	281.58	281.57	912	0.2400	0.2200	0.918	1.094	0.241	
1.03900	281.80	281.80	911	0.2300	0.2110	0.918	1.094	0.231	
1.04000	282.04		910	0.2400	0.2200	0.918	1.094	0.241	No Strat
1.04100	282.22	282.28	909	0.2400	0.2200	0.918	1.095	0.241	long year
1.04200	282.47	282.49	908	0.2100	0.1930	0.918	1.095	0.211	
1.04300	282.74	282.69	907	0.2000	0.1840	0.918	1.095	0.201	
1.04400	283.06	282.90	906	0.2100	0.1930	0.918	1.095	0.211	questionable
1.04500	283.21	283.20	905	0.3000	0.2750	0.918	1.095	0.302	
1.04600	283.50	283.51	904	0.3100	0.2850	0.918	1.095	0.312	
1.04700	283.65	283.67	903	0.1600	0.1470	0.918	1.095	0.161	
1.04800	283.86	283.84	902	0.1700	0.1560	0.918	1.095	0.171	
1.04900	284.13	284.08	901	0.2400	0.2200	0.918	1.095	0.241	
